GENE_ID	WTCHG_217386_229230	WTCHG_217386_249229	WTCHG_227074_204206	WTCHG_227074_204230	WTCHG_227074_204254	WTCHG_227074_204278	WTCHG_227074_208205	WTCHG_227074_208229	WTCHG_227074_208253	WTCHG_227074_208277	WTCHG_227074_228206	WTCHG_227074_228230	WTCHG_227074_228254	WTCHG_227074_228278	WTCHG_227074_232206	WTCHG_227074_232230	WTCHG_227074_232254	WTCHG_227074_232278	WTCHG_227074_252205	WTCHG_227074_252229	WTCHG_227074_252253	WTCHG_227074_252277	WTCHG_227074_256206	WTCHG_227074_256230	WTCHG_227074_256254	WTCHG_227074_256278	WTCHG_230414_204206	WTCHG_230414_204230	WTCHG_230414_204254	WTCHG_230414_204278	WTCHG_230414_208205	WTCHG_230414_208229	WTCHG_230414_208253	WTCHG_230414_208277	WTCHG_230414_228206	WTCHG_230414_228230	WTCHG_230414_228254	WTCHG_230414_228278	WTCHG_230414_232206	WTCHG_230414_232230	WTCHG_230414_232254	WTCHG_230414_232278	WTCHG_230414_252205	WTCHG_230414_252229	WTCHG_230414_252253	WTCHG_230414_252277	WTCHG_230414_256206	WTCHG_230414_256230	WTCHG_230414_256254	WTCHG_230414_256278
ERCC-00092	11	89	8	4	0	97	0	33	69	0	16	0	30	1	0	0	14	65	43	6	24	54	25	0	12	1	23	0	0	0	13	8	7	1	25	1	13	7	0	7	0	0	0	27	20	12	0	22	11	20
ERCC-00095	6	10	11	4	5	11	2	4	10	3	0	0	7	9	0	3	17	7	0	0	0	30	0	4	4	2	0	0	0	0	0	0	7	0	0	3	0	2	1	0	4	0	0	0	0	0	0	0	4	0
ERCC-00096	596	744	592	465	767	828	514	570	845	907	494	407	836	764	127	366	716	775	403	232	740	753	447	448	778	665	294	228	331	248	167	292	350	269	292	213	309	232	492	246	211	474	315	279	255	398	419	314	363	443
ERCC-00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	1	6	0	0	0	0	0	0	0	0
ERCC-00108	211	101	49	57	127	86	98	201	115	207	59	99	147	306	10	20	199	168	66	43	7	287	131	50	326	68	59	27	47	18	8	6	1	10	1	71	121	80	40	3	13	105	11	63	68	11	8	30	68	101
ERCC-00111	65	7	0	10	23	87	26	14	21	52	6	3	67	82	2	17	18	16	17	13	54	22	0	39	17	70	19	0	13	6	3	0	1	0	21	0	35	14	1	0	30	15	0	5	59	26	1	2	16	21
ERCC-00112	0	0	0	1	25	1	28	0	8	0	0	0	28	25	0	27	4	31	13	7	0	3	0	0	11	30	2	0	4	0	0	0	14	0	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	22
ERCC-00113	208	377	137	106	237	393	59	210	242	347	152	106	336	353	10	55	138	277	176	51	391	325	167	93	285	237	106	86	88	68	90	46	98	100	65	100	132	97	98	64	49	187	94	67	78	138	65	61	99	124
ERCC-00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
